<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_136280>application_1530661673092_136280</a>,parse_bh_impression,Gdoop,edw_traffic_noncore,364
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139188>application_1530661673092_139188</a>,bh_fact_insert_click,Gdoop,edw_traffic_core,2
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139201>application_1530661673092_139201</a>,bh_fact_insert_checkout,Gdoop,edw_traffic_core,1
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139202>application_1530661673092_139202</a>,bh_fact_insert_click,Gdoop,edw_traffic_noncore,0
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139199>application_1530661673092_139199</a>,bh_fact_insert_pageview,Gdoop,edw_traffic_core,1
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139203>application_1530661673092_139203</a>,HIVE-aed6e308-c1d0-43d4-8593-d,Gdoop,public,0
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139159>application_1530661673092_139159</a>,parse_bh_impression,Gdoop,edw_traffic_core,8
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139175>application_1530661673092_139175</a>,parse_bh_lookup,Gdoop,edw_traffic_noncore,4
<a href=http://gdoop-resourcemanager-vip.snc1:8088/cluster/app/application_1530661673092_139171>application_1530661673092_139171</a>,parse_bh_impression,Gdoop,edw_traffic_noncore,5
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134800>application_1530656550018_134800</a>,dw.mv_fact_zendesk_cases,Cerebro,replicator,25
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134813>application_1530656550018_134813</a>,groupon_production.order_disco,Cerebro,replicator,23
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134811>application_1530656550018_134811</a>,zendesk.zendesk_editorial,Cerebro,replicator,24
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134730>application_1530656550018_134730</a>,prod_groupondw.dim_user_histor,Cerebro,replicator,38
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134749>application_1530656550018_134749</a>,zendesk.zendesk_cases,Cerebro,replicator,35
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134753>application_1530656550018_134753</a>,prod_groupondw.dim_user,Cerebro,replicator,34
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134903>application_1530656550018_134903</a>,groupon_production.redemption_,Cerebro,replicator,5
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134910>application_1530656550018_134910</a>,distcp,Cerebro,edw_core,4
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134919>application_1530656550018_134919</a>,distcp,Cerebro,edw_core,4
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134922>application_1530656550018_134922</a>,HIVE-d39abce8-8496-4697-9a7f-9,Cerebro,edw_core,3
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134889>application_1530656550018_134889</a>,prod_groupondw.fact_active_use,Cerebro,replicator,8
<a href=http://cerebro-resourcemanager-vip.snc1:8088/cluster/app/application_1530656550018_134132>application_1530656550018_134132</a>,distcp,Cerebro,edw_core,138
