rep_acctg_table_limit_hist,UNIX,Trigger: 0415DLY,55:30,10:50
CHECK_EOD_DIM_OFFER_PRODUCT,UNIX,Workflow: DLY_OGP_FINANCIAL_${varRUNDATE},06:44,05:21
eucp_tl_check_deal_contract_map$,UNIX,Workflow: EUREBRO_COPY_WF3_${varRUNDATE},05:44,02:36
ZENDESK_TICKETS_EXTRACT_DK_2018-07-16,UNIX,Workflow: DLY_ZENDESK_TICKETS_INTL_${varRUNDATE},01:33,01:00
